model,roc_auc,macro_f1,minority_precision_rejected,minority_recall_rejected,minority_f1_rejected
decision_tree,0.5896370331404523,0.5812937721213947,0.16981132075471697,0.2,0.1836734693877551
random_forest,0.7273189549359986,0.556153937805314,0.15625,0.1111111111111111,0.12987012987012986
xgboost,0.667566777719329,0.5102267409901008,0.05725190839694656,0.3333333333333333,0.09771986970684039
logreg,0.6435209538839207,0.40516228404471544,0.03225806451612903,0.5555555555555556,0.06097560975609756
